"Year","NHS_England_Region_Code","NHS_England_Region_Name","ICS_Code","ICS_Name","Organisation_Code","Organisation_Name","Site_Code","Site_Name","Organisation_Type","Complaints_Total_Brought_Forward","Complaints_Total_New","Complaints_Total_Resolved","Complaints_Number_Upheld","Complaints_Number_Partially_Upheld","Complaints_Number_Not_Upheld","Complaints_Total_Carried_Forward","Age_0_5","Age_6_17","Age_18_25","Age_26_55","Age_56_64","Age_65_74","Age_75_And_Over","Age_Unknown","Age_Total","Status_Patient","Status_Parent","Status_Guardian","Status_Carer","Status_Other","Status_Total","Service_Ambulance","Service_Inpatient","Service_Outpatient","Service_Emergency","Service_Other_Community_Healthcare","Service_Commissioning","Service_Mental_Health","Service_Maternity","Service_Other","Service_Total","Clinical_Treatment_Accident_And_Emergency","Clinical_Treatment_Anaesthetics","Clinical_Treatment_Clinical_Oncology","Clinical_Treatment_Dental_Group","Clinical_Treatment_General_Medicine_Group","Clinical_Treatment_Obstetrics_And_Gynaecology","Clinical_Treatment_Paediatric_Group","Clinical_Treatment_Pathology_Group","Clinical_Treatment_PHM_And_CHS_Group","Clinical_Treatment_Psychiatry_Group","Clinical_Treatment_Radiology_Group","Clinical_Treatment_Surgical_Group","Clinical_Treatment_Sub_Total","Subject_Area_Access_To_Treatment_Or_Drugs","Subject_Area_Admissions_Discharge_And_Transfers","Subject_Area_Appointments","Subject_Area_Commissioning_Services","Subject_Area_Communications","Subject_Area_Consent_To_Treatment","Subject_Area_End_Of_Life_Care","Subject_Area_Facilities_Services","Subject_Area_Integrated_Care","Subject_Area_Patient_Care_Including_Nutrition_Hydration","Subject_Area_Mortuary_And_Post_Mortem_Arrangements","Subject_Area_Prescribing_Errors","Subject_Area_Privacy_Dignity_And_Wellbeing","Subject_Area_Restraint","Subject_Area_Staffing_Numbers","Subject_Area_Transport","Subject_Area_Trust_Administration","Subject_Area_Values_And_Behaviours","Subject_Area_Waiting_Times","Subject_Area_Other","Subject_Area_Sub_Total","Subject_Area_Total","Profession_Medical","Profession_Dental","Profession_Nursing","Profession_Midwifery","Profession_Health_Visiting_Staff","Profession_Scientific_Therapeutic_And_Technical","Profession_Ambulance","Profession_Support_To_Clinical_Staff","Profession_NHS_Infrastructure_Support","Profession_Other","Profession_Total"
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDY","MH - AMH/OPMH COMMUNITY","Mental Health",0,352,309,87,54,168,43,12,34,17,95,19,23,29,123,352,165,53,0,1,133,352,1,0,18,64,93,0,183,4,1,364,14,0,0,0,0,0,0,0,15,16,0,0,45,30,20,53,1,103,0,4,6,0,71,0,10,5,0,0,0,5,45,4,0,357,402,80,1,96,0,2,13,1,173,0,0,366
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDY10","ST ANN'S HOSPITAL MHCOM","Mental Health",0,26,23,5,2,16,3,0,0,1,14,2,3,0,6,26,11,2,0,0,13,26,0,9,0,0,0,0,20,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,6,0,0,1,0,10,0,3,0,1,0,0,0,3,0,1,29,31,2,0,10,0,0,1,0,17,0,1,31
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDY12","49 ALUMHURST ROAD, BOURNEMOUTH MHCOM","Mental Health",0,3,3,1,0,2,0,0,1,0,1,0,0,0,1,3,1,0,0,0,2,3,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDY22","ALDERNEY HOSPITAL ICSP","Mental Health",0,7,7,1,3,3,0,0,0,0,0,1,0,6,0,7,0,0,0,0,7,7,0,6,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,9,0,0,4,0,0,0,0,3,0,0,7
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYEF","WEYMOUTH COMMUNITY HOSPITAL ICSWP","Mental Health",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYEG","WESTHAVEN HOSPITAL ICSWP","Mental Health",0,2,2,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYEJ","BRIDPORT COMMUNITY HOSPITAL ISCMWD","Mental Health",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYEW","FORSTON CLINIC MHINP","Mental Health",0,6,5,1,1,3,1,0,0,0,2,0,4,0,0,6,2,0,0,0,4,6,0,0,1,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,2,0,0,9,12,5,0,1,0,0,0,0,1,0,0,7
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYEY","WESTMINSTER MEMORIAL HOSPITAL ICSND","Mental Health",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYFE","WIMBORNE COMMUNITY HOSPITAL ICSED","Mental Health",0,2,2,0,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,2
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYFF","SWANAGE COMMUNITY HOSPITAL ISCPRBK","Mental Health",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"2024-25","Y58","South West","QVV","Dorset","RDY","Dorset Healthcare University NHS Foundation Trust","RDYFT","MAIDEN CASTLE ROAD MHCOM","Mental Health",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1
