"Quarter","Region","Trust_type","Trust_subtype","Trust_code","Trust_name","Domain","Sub-domain","Metric_ID","Metric_description","Reporting_date","Units","Value","Median_value","Lower_quartile","Upper_quartile","Rank"
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5004","Financial override","Q2 2025/26","flag",0,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5005","Final segment score override","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5007","Is the organisation in the Recovery Support Programme?","Q2 2025/26","flag",0,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF0005","Percentage of patients waiting over 52 weeks for community services","Dec-25","%",0,0.25,0,5.72,1
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q3 2025/26","%",63.1,65.99,57.58,75.54,29
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF0041","Annual change in the number of children and young people accessing NHS-funded MH services","Jan 25 - Dec 25 vs Jan 24 - Dec 24","percentage points",7.09,7.01,-0.2,14,25
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF0057","Urgent Community Response 2-hour performance","Q3 2025/26","%",79.82,86.4,79.8,88.86,28
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0061","NHS Staff survey - raising concerns sub-score","2024","out of 10",6.9,6.81,6.57,6.95,23
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF0063","Percentage of inpatients with >60 day length of stay","Q3 2025/26","%",36.49,23.24,19.34,28.62,47
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0079","Planned surplus/deficit","2025/26","%",2.39,0,0,0,1
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0081","Variance year-to-date to financial plan","Month 9 2025","%",0.44,0.01,0,0.21,10
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0082","Sickness absence rate","Q2 2025/26","%",5.08,5.62,5.03,6.52,17
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0084","NHS staff survey engagement theme sub-score ","2024","out of 10",7.19,7.08,6.95,7.21,24
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF0086","Relative difference in costs","2024/25","%",106.96,104.85,96.16,112.32,36
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF1005","Percentage of patients waiting over 52 weeks for community services","Dec-25","score",1,NA,NA,NA,1
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q3 2025/26","score",2.75,NA,NA,NA,29
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Patient experience","OF1035","CQC community mental health survey satisfaction rate","2024","score",2,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF1041","Annual change in the number of children and young people accessing NHS-funded MH services","Jan 25 - Dec 25 vs Jan 24 - Dec 24","score",2.43,NA,NA,NA,25
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF1057","Urgent Community Response 2-hour performance","Q3 2025/26","score",2.47,NA,NA,NA,28
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1061","NHS Staff survey - raising concerns sub-score","2024","score",2.1,NA,NA,NA,23
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF1063","Percentage of inpatients with >60 day length of stay","Q3 2025/26","score",4,NA,NA,NA,47
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1079","Planned surplus/deficit","2025/26","score",1,NA,NA,NA,1
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1080","Combined finance","Q3 2025/26","score",1,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1081","Variance year-to-date to financial plan","Month 9 2025","score",1,NA,NA,NA,10
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1082","Sickness absence rate","Q2 2025/26","score",2.26,NA,NA,NA,17
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1084","NHS staff survey engagement theme sub-score ","2024","score",2.15,NA,NA,NA,24
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF1086","Relative difference in costs","2024/25","score",2.84,NA,NA,NA,36
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain score","OF4000","Access to services domain score","Q3 2025/26","score",1.72,NA,NA,NA,14
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain score","OF4002","Patient safety domain score","Q3 2025/26","score",2.43,NA,NA,NA,34
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain score","OF4003","Finance and productivity domain score","Q3 2025/26","score",1.92,NA,NA,NA,28
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain score","OF4004","People and workforce domain score","Q3 2025/26","score",2.21,NA,NA,NA,16
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain score","OF4005","Effectiveness and experience domain score","Q3 2025/26","score",2.82,NA,NA,NA,54
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain segment","OF4100","Access to services domain segment","Q3 2025/26","segment",1,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain segment","OF4102","Patient safety domain segment","Q3 2025/26","segment",2,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain segment","OF4103","Finance and productivity domain segment","Q3 2025/26","segment",2,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain segment","OF4104","People and workforce domain segment","Q3 2025/26","segment",2,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain segment","OF4105","Effectiveness and experience domain segment","Q3 2025/26","segment",4,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5000","Adjusted segment","Q3 2025/26","segment",2,NA,NA,NA,24
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5002","Average metric score","Q3 2025/26","score",2.27,NA,NA,NA,28
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5003","Unadjusted segment","Q3 2025/26","segment",2,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5004","Financial override","Q3 2025/26","flag",0,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF0005","Percentage of patients waiting over 52 weeks for community services","Mar-26","%",0,0.19,0,4.91,1
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q4 2025/26","%",65.54,71.97,63.58,78.23,33
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF0041","Annual change in the number of children and young people accessing NHS-funded MH services","Apr 25 - Mar 26 vs Apr 24 - Mar 25","percentage points",13.37,8.76,1,15.33,17
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF0057","Urgent Community Response 2-hour performance","Q4 2025/26","%",79.28,87.18,80.46,89.7,30
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0061","NHS Staff survey - raising concerns sub-score","2025","out of 10",6.85,6.66,6.5,6.86,17
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF0063","Percentage of inpatients with >60 day length of stay","Q4 2025/26","%",46.55,24.52,20.18,29.83,47
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0079","Planned surplus/deficit","2025/26 plan","%",2.39,0,0,0,1
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0081","Variance year-to-date to financial plan","Month 12 2025/26","%",1.08,0.49,0.06,0.71,5
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0082","Sickness absence rate","Q3 2025/26","%",5.47,6.22,5.78,7.28,13
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0084","NHS staff survey engagement theme sub-score ","2025","out of 10",7.11,7.02,6.84,7.15,20
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF0086","Relative difference in costs","2024/25","%",106.96,104.85,96.16,112.32,36
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF1005","Percentage of patients waiting over 52 weeks for community services","Mar-26","score",1,NA,NA,NA,1
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q4 2025/26","score",3.09,NA,NA,NA,33
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Patient experience","OF1035","CQC community mental health survey satisfaction rate","2025","score",2,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF1041","Annual change in the number of children and young people accessing NHS-funded MH services","Apr 25 - Mar 26 vs Apr 24 - Mar 25","score",1.87,NA,NA,NA,17
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF1057","Urgent Community Response 2-hour performance","Q4 2025/26","score",2.66,NA,NA,NA,30
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1061","NHS Staff survey - raising concerns sub-score","2025","score",1.8,NA,NA,NA,17
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF1063","Percentage of inpatients with >60 day length of stay","Q4 2025/26","score",4,NA,NA,NA,47
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1079","Planned surplus/deficit","2025/26 plan","score",1,NA,NA,NA,1
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1080","Combined finance","Q4 2025/26","score",1,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1081","Variance year-to-date to financial plan","Month 12 2025/26","score",1,NA,NA,NA,5
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1082","Sickness absence rate","Q3 2025/26","score",2.1,NA,NA,NA,13
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1084","NHS staff survey engagement theme sub-score ","2025","score",1.95,NA,NA,NA,20
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF1086","Relative difference in costs","2024/25","score",2.84,NA,NA,NA,36
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain score","OF4000","Access to services domain score","Q4 2025/26","score",1.43,NA,NA,NA,12
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain score","OF4002","Patient safety domain score","Q4 2025/26","score",2.44,NA,NA,NA,32
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain score","OF4003","Finance and productivity domain score","Q4 2025/26","score",1.92,NA,NA,NA,32
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain score","OF4004","People and workforce domain score","Q4 2025/26","score",2.03,NA,NA,NA,12
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain score","OF4005","Effectiveness and experience domain score","Q4 2025/26","score",2.89,NA,NA,NA,56
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain segment","OF4100","Access to services domain segment","Q4 2025/26","segment",1,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain segment","OF4102","Patient safety domain segment","Q4 2025/26","segment",2,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain segment","OF4103","Finance and productivity domain segment","Q4 2025/26","segment",2,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain segment","OF4104","People and workforce domain segment","Q4 2025/26","segment",2,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain segment","OF4105","Effectiveness and experience domain segment","Q4 2025/26","segment",4,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5000","Adjusted segment","Q4 2025/26","segment",2,NA,NA,NA,24
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5002","Average metric score","Q4 2025/26","score",2.21,NA,NA,NA,25
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5003","Unadjusted segment","Q4 2025/26","segment",2,NA,NA,NA,NA
"Q4 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5004","Financial override","Q4 2025/26","flag",0,NA,NA,NA,NA
