kpi_id,kpi_name,definition,agreed_definition_text,service_definition,system_capture,fact_table_definition,reporting_use,exclusions_caveats,validation_check,owners_sign_off,national_or_local,owner,source,validation,agreed_date,sign_off_owner,status,migration_phase,linked_kpi_option
KPI-01,Referrals received,Agreed hybrid OPT-C,Pre-Feb-2026: ReferralDate on Legendary case. From Feb-2026: ACCESS_ACCEPTED excluding admin/duplicate and rejected unless CLINICAL_TRIAGE,A request for the service to consider accepting a patient onto the MH access pathway.,"Old (Legendary Care): staff open a case and record referral received date. New (PathwayOne): access actions — referral sent, received, accepted or rejected.",Pre-migration: count Legendary case records with referral_received_datetime in month. Post-migration: count derived referral episodes where agreed access-action rule identifies a valid referral.,Local demand monitoring and MHSDS-like mandatory reporting — inclusion rules documented separately for each.,Rejected referrals may still count as received depending on rejection reason (e.g. DRH-PAT-002896). Duplicates and admin actions excluded from demand but monitored in DQ.,Compare monthly counts against old case extract during parallel running; sample rejected referrals with service leads; monitor unmapped rejection reasons.,Service lead (operational); BI (implementation); Performance (reporting use); directorate lead (final sign-off).,Both,Performance lead,legendary_cmht_cases + pathwayone_actions,Monthly reconciliation,2026-03-25,Directorate lead,Agreed pending workshop,D,OPT-C
KPI-02,Pathway start,First CARE_FIRST_CONTACT after ACCESS_ACCEPTED,First CARE_FIRST_CONTACT date where prior ACCESS_ACCEPTED exists within same pathway episode,The point at which the patient begins active care on the pathway after acceptance.,Old: PathwayStartDate on case (often same as referral). New: first CARE_FIRST_CONTACT action after ACCESS_ACCEPTED.,Derive pathway_start_date from first qualifying CARE_FIRST_CONTACT linked to accepted access episode.,Waiting time from referral to pathway start; local performance and waiting-list risk reports.,Gap between access accepted and first contact affects waiting metrics — 12-day gaps flagged in vignettes.,Compare old PathwayStartDate vs new first-contact rule for sample patients during parallel run.,CMHT clinical lead (operational); service manager; BI lead.,Local,Service manager,pathwayone_actions,Service validation,2026-03-20,CMHT clinical lead,Agreed,D,OPT-C
KPI-03,Waiting list stock,Open ACCESS_WAITING at month end,Count ACCESS_WAITING actions open on last day of month; exclude INVALID_TEAM,Patients accepted onto the pathway but not yet had first contact — waiting for access.,Old: case status Waiting on Legendary. New: ACCESS_WAITING action open at month end.,Count ACCESS_WAITING actions where action_end is null or after month-end; join dim_team excluding INVALID_TEAM.,Local waiting-list risk report and capacity planning meetings.,INVALID_TEAM rows excluded; team remap failures can inflate or deflate stock.,Compare old case Waiting stock vs new action stock by team for Mar 2026.,Service manager (operational); performance lead (reporting).,Local,Service manager,pathwayone_actions,Compared to old case Waiting,,Service manager,Draft,D,OPT-B
KPI-04,First contact rate,First contact within 14 days of referral,Numerator: first CARE_FIRST_CONTACT within 14d of referral date. Denominator: agreed referrals (KPI-01),Proportion of referrals where the patient is seen within 14 days of referral received.,Referral date from agreed KPI-01; first contact from CARE_FIRST_CONTACT action.,Numerator: count referrals with days_to_first_contact <= 14. Denominator: fact_referral_agreed (KPI-01).,Local and national access standards; senior performance brief headline.,Denominator must use agreed referral definition — not dashboard count. Rejected-referral rule affects both.,Test against known patients pre-embed; reconcile numerator/denominator monthly.,Clinical lead (standard); performance lead (reporting).,Both,Clinical lead,Both systems,Definition tested pre-embed,2026-02-15,Clinical lead,Agreed,C,OPT-C
KPI-05,Activity contacts,CARE_ONGOING + CARE_FIRST_CONTACT,Clinical care actions only; exclude ADMIN_CANCEL and duplicate ActionId,"Clinical contacts delivered to patients — assessments, interventions, ongoing care.",Old: ContactCount on case. New: CARE_ONGOING and CARE_FIRST_CONTACT actions (admin actions separate).,"Count care actions in month from fact_activity; exclude ADMIN_CANCEL, duplicate ActionId, non-clinical action types.",CSDS-like mandatory community activity return and local productivity pack.,Admin actions can inflate counts if not excluded — vignette DRH-PAT-003201. National rules may differ from local.,CSDS-like cross-check; weekly DQ on ActionId duplicates and admin flags.,CSDS owner (mandatory); service manager (local); BI lead (implementation).,National,CSDS owner,pathwayone_actions,CSDS-like cross-check,,CSDS owner,Pending reconciliation,D,OPT-B
KPI-06,DNA rate,DNA contacts / scheduled contacts,DNA flag on care actions; denominator scheduled care actions in month,Patients who did not attend a scheduled clinical contact.,Old: DNA recorded on case contact. New: CARE_DNA action or DNA flag on scheduled CARE_* action.,Numerator: DNA-flagged care actions. Denominator: scheduled care actions in reporting month.,Local demand-capacity pack and service recovery meetings.,Cancelled vs DNA must be distinguished; admin cancellations excluded from denominator.,Weekly DQ check; compare DNA rate trend before and after migration.,Service manager (operational and reporting).,Local,Service manager,pathwayone_actions,Weekly DQ check,2026-04-01,Service manager,Agreed,F,OPT-C
KPI-07,Open caseload,Open pathways at month end,ACCESS_ACCEPTED without OUTCOME_CLOSED in month; hybrid case logic pre-Feb,Patients actively on the pathway at month end — accepted and not yet closed.,Old: open case count on Legendary. New: accepted access without outcome closure in period.,Hybrid: pre-Feb use case open logic; post-Feb derive from access/outcome action pairs.,Local caseload management and workforce planning.,Definition of open differs from waiting stock — includes post-first-contact patients.,Monthly stock reconcile against service manager caseload review.,Performance lead; service manager (operational validation).,Local,Performance lead,Both systems,Monthly stock reconcile,,Performance lead,Draft,D,OPT-C
KPI-08,Agency cost per contact,Agency spend / contacts delivered,LedgerWise agency postings / agreed activity contacts (KPI-05),Cost of agency staff per clinical contact delivered — workforce pressure indicator.,Finance: agency postings in LedgerWise. Activity: agreed KPI-05 contacts from PathwayOne.,Sum agency ledger lines in month / count fact_activity contacts (KPI-05 rules).,Local demand-capacity pack and finance-directorate review.,Activity definition must match KPI-05 — admin inflation affects cost-per-contact.,Finance review of ledger mapping; cross-check activity denominator monthly.,Finance BP (cost); service manager (activity); finance directorate (sign-off).,Local,Finance BP,LedgerWise + pathwayone_actions,Finance review,2026-04-10,Finance directorate,Agreed,F,n/a
KPI-09,Pathway closure,OUTCOME_CLOSED in reporting month,OUTCOME_CLOSED action in month with agreed outcome type mapping,"Patient pathway formally closed — discharged, transferred or otherwise ended.",Old: ClosureDate and outcome on case. New: OUTCOME_CLOSED action with outcome type.,Count OUTCOME_CLOSED actions in reporting month; map outcome types to agreed categories.,Local throughput and caseload turnover; supports waiting-list interpretation.,Admin closures vs clinical closures must be distinguished; transfer-out rules differ local vs national.,Sample closed cases with service leads; compare old closure count vs new for parallel months.,Clinical lead (outcome meaning); service manager; BI lead.,Local,Service manager,pathwayone_actions,Service validation,,Clinical lead,Draft,D,OPT-C
KPI-10,Outcome,Agreed outcome type at closure,"Map OUTCOME_* action types to agreed outcome categories (recovered, transferred, DNA discharge, etc.)","What happened to the patient at end of pathway — recovery, transfer, decline, etc.",Old: OutcomeText on case. New: outcome type on OUTCOME_CLOSED or OUTCOME_* actions.,Derive outcome_category from action outcome type via pathway_status_map crosswalk.,Local service quality review; may feed mandatory returns where outcome fields required.,Free-text outcomes on old system do not map 1:1 to new coded types — manual review for edge cases.,Review unmapped outcome codes monthly; sample with clinical lead.,Clinical lead (categories); mandatory reporting owner where national fields apply.,Both,Clinical lead,pathwayone_actions + pathway_status_map,Outcome mapping review,,Clinical lead,Draft,D,OPT-C
KPI-11,Reporting month allocation,Which month an event counts in,Facilitated rule per KPI: referral = received month; activity = action month; stock = month-end snapshot,When a service event counts for monthly performance — not always obvious after migration.,Old: ReportingMonth field on case. New: ActionDate per event — no single case field.,Per-KPI allocation rules in register; warehouse applies reporting_month dimension consistently.,All monthly KPIs and mandatory returns — underpins reconciliation.,Events near month boundary can shift counts; parallel-run months need explicit rules.,Reconcile month-boundary vignettes; compare old ReportingMonth vs new rules.,Performance lead (facilitation); BI lead (implementation); mandatory reporting owner.,Both,Performance lead,Both systems,Monthly reconciliation,2026-03-15,Performance lead,Agreed,D,OPT-C
KPI-12,Team ownership,Responsible team for pathway/event,TeamCode on action mapped via team_service_code_map; exclude INVALID_TEAM,Which CMHT or access team owns the patient for performance and capacity purposes.,Old: ResponsibleTeam on case. New: TeamCode on each action — can change mid-pathway.,Join actions to dim_team via team_service_code_map; flag INVALID_TEAM for DQ not reporting.,"All team-level local reports, waiting lists, productivity and demand packs.",Team remap failures (DRH-PAT-000874) break team-level reporting; transfers change ownership mid-month.,Crosswalk completeness check; compare old ResponsibleTeam vs new TeamCode for sample cases.,Service manager (operational teams); BI lead (crosswalk); performance lead (reporting).,Local,Service manager,team_service_code_map + pathwayone_actions,Team crosswalk validation,2026-03-10,Service manager,Agreed,D,n/a
